Date,SPY,EFA,EEM,EMB,TLT,X.VIX1D,X.VIX9D,X.VIX,X.VIX3M,X.VIX6M
1990-01-02,NA,NA,NA,NA,NA,NA,NA,17.2399997711182,NA,NA
1990-01-03,NA,NA,NA,NA,NA,NA,NA,18.1900005340576,NA,NA
1990-01-04,NA,NA,NA,NA,NA,NA,NA,19.2199993133545,NA,NA
1990-01-05,NA,NA,NA,NA,NA,NA,NA,20.1100006103516,NA,NA
1990-01-08,NA,NA,NA,NA,NA,NA,NA,20.2600002288818,NA,NA
1990-01-09,NA,NA,NA,NA,NA,NA,NA,22.2000007629395,NA,NA
1990-01-10,NA,NA,NA,NA,NA,NA,NA,22.4400005340576,NA,NA
1990-01-11,NA,NA,NA,NA,NA,NA,NA,20.0499992370605,NA,NA
1990-01-12,NA,NA,NA,NA,NA,NA,NA,24.6399993896484,NA,NA
1990-01-15,NA,NA,NA,NA,NA,NA,NA,26.3400001525879,NA,NA
1990-01-16,NA,NA,NA,NA,NA,NA,NA,24.1800003051758,NA,NA
1990-01-17,NA,NA,NA,NA,NA,NA,NA,24.1599998474121,NA,NA
1990-01-18,NA,NA,NA,NA,NA,NA,NA,24.3400001525879,NA,NA
1990-01-19,NA,NA,NA,NA,NA,NA,NA,22.5,NA,NA
1990-01-22,NA,NA,NA,NA,NA,NA,NA,26.7000007629395,NA,NA
1990-01-23,NA,NA,NA,NA,NA,NA,NA,24.7199993133545,NA,NA
1990-01-24,NA,NA,NA,NA,NA,NA,NA,25.3899993896484,NA,NA
1990-01-25,NA,NA,NA,NA,NA,NA,NA,25.6299991607666,NA,NA
1990-01-26,NA,NA,NA,NA,NA,NA,NA,26.2800006866455,NA,NA
1990-01-29,NA,NA,NA,NA,NA,NA,NA,26.4400005340576,NA,NA
1990-01-30,NA,NA,NA,NA,NA,NA,NA,27.25,NA,NA
1990-01-31,NA,NA,NA,NA,NA,NA,NA,25.3600006103516,NA,NA
1990-02-01,NA,NA,NA,NA,NA,NA,NA,24.8700008392334,NA,NA
1990-02-02,NA,NA,NA,NA,NA,NA,NA,24.3199996948242,NA,NA
1990-02-05,NA,NA,NA,NA,NA,NA,NA,24.5400009155273,NA,NA
1990-02-06,NA,NA,NA,NA,NA,NA,NA,24.6900005340576,NA,NA
1990-02-07,NA,NA,NA,NA,NA,NA,NA,24.2900009155273,NA,NA
